epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,63.3566,0.84254,0.90487,0.87522,0.94982,0.72181,0.89164,0.64697,1.15388,0.74787,0.91805,0.000265009,0.000265009,0.000265009
161,63.688,0.85488,0.80669,0.86373,0.94982,0.72181,0.89164,0.64697,1.15388,0.74787,0.91805,0.000262185,0.000262185,0.000262185
162,64.0376,0.92312,0.86569,0.88352,0.95588,0.71863,0.88524,0.64318,1.16418,0.74591,0.91855,0.000259362,0.000259362,0.000259362
163,64.3837,0.86069,0.86798,0.87429,0.80971,0.87612,0.87346,0.62703,1.17123,0.73122,0.917,0.000256538,0.000256538,0.000256538
164,64.7308,0.8581,0.87286,0.855,0.81696,0.86435,0.87083,0.62413,1.17183,0.72174,0.91444,0.000253714,0.000253714,0.000253714
165,65.0732,0.97362,1.03899,0.97206,0.81696,0.86435,0.87083,0.62413,1.17183,0.72174,0.91444,0.00025089,0.00025089,0.00025089
166,65.4102,0.94537,0.89207,0.9583,0.89237,0.78421,0.87082,0.6317,1.1593,0.7208,0.90868,0.000248066,0.000248066,0.000248066
167,65.7808,0.85147,0.74972,0.84559,0.88501,0.79789,0.87143,0.62593,1.16553,0.7188,0.90895,0.000245242,0.000245242,0.000245242
168,66.1645,0.90456,0.83376,0.89759,0.8944,0.80979,0.87828,0.62427,1.15224,0.70775,0.91278,0.000242418,0.000242418,0.000242418
169,66.5096,0.85462,0.86746,0.87938,0.8944,0.80979,0.87828,0.62427,1.15224,0.70775,0.91278,0.000239595,0.000239595,0.000239595
170,66.8715,0.84017,0.79265,0.85022,0.89293,0.80885,0.88927,0.64131,1.14916,0.69405,0.91792,0.000236771,0.000236771,0.000236771
171,67.2289,0.86578,0.80208,0.89791,0.92631,0.75718,0.89462,0.65458,1.13877,0.69447,0.91598,0.000233947,0.000233947,0.000233947
172,67.5773,0.85611,0.83005,0.86914,0.93571,0.75444,0.89392,0.6521,1.14102,0.69766,0.91156,0.000231123,0.000231123,0.000231123
173,67.9299,0.86924,0.82493,0.86118,0.93571,0.75444,0.89392,0.6521,1.14102,0.69766,0.91156,0.000228299,0.000228299,0.000228299
174,68.4511,0.86881,0.87441,0.85868,0.96348,0.73819,0.90639,0.6549,1.1535,0.70163,0.90851,0.000225475,0.000225475,0.000225475
175,68.8535,0.86229,0.74874,0.85219,0.89533,0.79544,0.89143,0.63607,1.17174,0.69258,0.90993,0.000222652,0.000222652,0.000222652
176,69.2632,0.90748,0.91395,0.88355,0.90938,0.78178,0.8829,0.62876,1.18464,0.69815,0.90801,0.000219828,0.000219828,0.000219828
177,69.6245,0.8977,0.82702,0.88599,0.90938,0.78178,0.8829,0.62876,1.18464,0.69815,0.90801,0.000217004,0.000217004,0.000217004
