epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,18.0596,1.15835,1.63989,0.9466,0.46884,0.50244,0.61612,0.442,1.1584,1.91495,0.91635,0.000601046,0.000601046,0.000601046
42,18.5571,1.11531,1.51929,0.91083,0.57895,0.52247,0.64292,0.46045,1.16205,1.77362,0.91289,0.000598223,0.000598223,0.000598223
43,19.0318,1.12727,1.67405,0.95213,0.57606,0.57412,0.66587,0.47963,1.19843,1.69828,0.91118,0.000595399,0.000595399,0.000595399
44,19.4793,1.11036,1.48637,0.91094,0.45784,0.59709,0.64563,0.47875,1.17031,1.66394,0.90837,0.000592575,0.000592575,0.000592575
45,19.8177,1.10241,1.62876,0.96305,0.45784,0.59709,0.64563,0.47875,1.17031,1.66394,0.90837,0.000589751,0.000589751,0.000589751
46,20.1875,1.08462,1.43289,0.88586,0.55532,0.54903,0.68689,0.5045,1.16442,1.65568,0.91443,0.000586927,0.000586927,0.000586927
47,20.7406,1.05472,1.41988,0.9328,0.56931,0.67755,0.68727,0.49655,1.2056,1.65485,0.93277,0.000584103,0.000584103,0.000584103
48,21.1073,1.19558,1.51328,0.9367,0.54203,0.68697,0.67181,0.48403,1.18284,1.66933,0.9214,0.000581279,0.000581279,0.000581279
49,21.5074,1.15597,1.45186,0.89257,0.54203,0.68697,0.67181,0.48403,1.18284,1.66933,0.9214,0.000578456,0.000578456,0.000578456
50,21.8455,1.09829,1.47637,0.89865,0.70075,0.48535,0.69424,0.49613,1.14861,1.5995,0.90402,0.000575632,0.000575632,0.000575632
51,22.2689,1.09135,1.37614,0.92345,0.54024,0.62743,0.71531,0.50761,1.15203,1.48666,0.9049,0.000572808,0.000572808,0.000572808
52,22.7535,1.15143,1.44524,0.89885,0.54969,0.62635,0.72612,0.51719,1.16088,1.41983,0.90885,0.000569984,0.000569984,0.000569984
53,23.1556,1.10236,1.31728,0.90942,0.54969,0.62635,0.72612,0.51719,1.16088,1.41983,0.90885,0.00056716,0.00056716,0.00056716
54,23.57,1.20232,1.50487,0.9426,0.76444,0.53704,0.74397,0.52077,1.14289,1.39484,0.91496,0.000564336,0.000564336,0.000564336
55,23.9728,1.05572,1.36577,0.91485,0.51801,0.6435,0.72412,0.52393,1.14131,1.41796,0.91467,0.000561513,0.000561513,0.000561513
56,24.3833,1.10593,1.35394,0.98242,0.47707,0.64452,0.73129,0.53765,1.16292,1.48496,0.91996,0.000558689,0.000558689,0.000558689
57,24.7942,1.10326,1.24266,0.9687,0.47707,0.64452,0.73129,0.53765,1.16292,1.48496,0.91996,0.000555865,0.000555865,0.000555865
58,25.2564,1.07735,1.24561,0.91305,0.80489,0.51186,0.72029,0.52033,1.15653,1.42516,0.91293,0.000553041,0.000553041,0.000553041
59,25.6054,1.06137,1.39005,0.91792,0.85581,0.51552,0.68806,0.5029,1.14489,1.39384,0.91164,0.000550217,0.000550217,0.000550217
60,25.9796,1.11976,1.27109,0.90987,0.69582,0.5612,0.70112,0.50954,1.15697,1.26783,0.92266,0.000547393,0.000547393,0.000547393
61,26.3218,1.05639,1.25656,0.90728,0.69582,0.5612,0.70112,0.50954,1.15697,1.26783,0.92266,0.00054457,0.00054457,0.00054457
