epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,14.1312,0.92909,2.87636,0.93406,0.62403,0.62494,0.74207,0.51074,0.96669,3.14649,0.92487,0.000600906,0.000600906,0.000600906
42,14.4231,0.8753,3.04454,0.91986,0.70977,0.59304,0.75227,0.51898,0.9003,3.00773,0.90916,0.000598078,0.000598078,0.000598078
43,14.7176,0.91584,3.02099,0.96929,0.60284,0.62459,0.76331,0.5565,0.87756,2.95805,0.90422,0.000595251,0.000595251,0.000595251
44,15.0513,1.00058,3.40264,0.95902,0.57793,0.65174,0.78167,0.56668,0.87434,2.95113,0.90499,0.000592424,0.000592424,0.000592424
45,15.3726,0.92158,2.87382,0.92812,0.57793,0.65174,0.78167,0.56668,0.87434,2.95113,0.90499,0.000589596,0.000589596,0.000589596
46,15.7041,0.81245,2.88543,0.95207,0.67191,0.61906,0.78179,0.56951,0.87411,2.91903,0.90448,0.000586769,0.000586769,0.000586769
47,16.0395,0.89515,2.87198,0.91913,0.67582,0.63448,0.77682,0.54719,0.90033,2.84288,0.90939,0.000583942,0.000583942,0.000583942
48,16.3332,0.94232,2.84689,1.03074,0.66749,0.62564,0.76769,0.52464,0.93545,2.84151,0.92461,0.000581114,0.000581114,0.000581114
49,16.6145,0.90669,2.89787,0.94648,0.66749,0.62564,0.76769,0.52464,0.93545,2.84151,0.92461,0.000578287,0.000578287,0.000578287
50,16.9043,0.92906,2.75375,0.92257,0.72988,0.63842,0.77168,0.5256,0.93631,2.69853,0.92466,0.00057546,0.00057546,0.00057546
51,17.1908,0.90395,3.03584,0.97455,0.73333,0.64677,0.78064,0.55498,0.89358,2.55862,0.91058,0.000572632,0.000572632,0.000572632
52,17.4829,0.87023,2.65355,0.97291,0.71751,0.65935,0.78046,0.56215,0.88048,2.5532,0.90483,0.000569805,0.000569805,0.000569805
53,17.7605,0.9026,2.79948,0.96222,0.71751,0.65935,0.78046,0.56215,0.88048,2.5532,0.90483,0.000566978,0.000566978,0.000566978
54,18.0483,0.87094,2.65925,0.95492,0.66586,0.67301,0.78626,0.57835,0.88304,2.57066,0.90233,0.00056415,0.00056415,0.00056415
55,18.3757,0.8523,2.71693,0.93433,0.6989,0.674,0.79153,0.58005,0.88907,2.44135,0.90247,0.000561323,0.000561323,0.000561323
56,18.707,0.92136,2.67181,0.95778,0.64783,0.78935,0.79094,0.57982,0.88665,2.31883,0.90899,0.000558496,0.000558496,0.000558496
57,18.9894,0.82714,2.72661,0.90913,0.64783,0.78935,0.79094,0.57982,0.88665,2.31883,0.90899,0.000555668,0.000555668,0.000555668
58,19.2791,0.77675,2.52872,0.89509,0.6509,0.77752,0.78265,0.57755,0.88577,2.22813,0.91305,0.000552841,0.000552841,0.000552841
59,19.6967,0.86121,2.67291,0.90819,0.70248,0.69457,0.77202,0.55984,0.89409,2.20759,0.9176,0.000550013,0.000550013,0.000550013
60,19.9858,0.84302,2.50969,0.88607,0.66593,0.68638,0.77064,0.54867,0.91345,2.25796,0.92101,0.000547186,0.000547186,0.000547186
61,20.265,0.86756,2.55065,0.94165,0.66593,0.68638,0.77064,0.54867,0.91345,2.25796,0.92101,0.000544359,0.000544359,0.000544359
62,20.5515,0.79233,2.49058,0.96525,0.69431,0.69945,0.78183,0.55072,0.92574,2.21659,0.92781,0.000541531,0.000541531,0.000541531
63,20.8459,0.88181,2.51432,0.92394,0.77974,0.67027,0.80738,0.57713,0.92348,2.11314,0.92473,0.000538704,0.000538704,0.000538704
64,21.1349,0.82336,2.34744,0.94928,0.74335,0.6761,0.80896,0.58615,0.90158,2.08611,0.91363,0.000535877,0.000535877,0.000535877
