epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,18.1374,1.05256,1.5078,0.99674,0.71566,0.48669,0.69262,0.50594,1.10552,2.04365,0.96442,0.000600902,0.000600902,0.000600902
42,18.5127,0.92589,1.74808,0.93614,0.64294,0.47452,0.68418,0.50008,1.1039,2.07869,0.96434,0.000598075,0.000598075,0.000598075
43,18.8662,1.03507,1.53402,0.93935,0.60864,0.43783,0.68072,0.4957,1.10456,2.0567,0.95592,0.000595248,0.000595248,0.000595248
44,19.25,1.03576,1.52552,0.93165,0.50937,0.53398,0.67041,0.48126,1.12098,1.95708,0.95287,0.00059242,0.00059242,0.00059242
45,19.5647,1.0081,1.5266,0.93135,0.50937,0.53398,0.67041,0.48126,1.12098,1.95708,0.95287,0.000589593,0.000589593,0.000589593
46,19.8885,0.9228,1.34035,0.87316,0.55705,0.56887,0.69422,0.4961,1.10912,1.74769,0.96529,0.000586765,0.000586765,0.000586765
47,20.2038,1.00623,1.50652,0.94586,0.57265,0.59356,0.7139,0.50432,1.09522,1.52428,0.97286,0.000583938,0.000583938,0.000583938
48,20.6441,0.95135,1.32004,0.89187,0.56424,0.69611,0.73209,0.51638,1.10751,1.45994,0.982,0.00058111,0.00058111,0.00058111
49,21.0906,0.94238,1.30824,0.92847,0.56424,0.69611,0.73209,0.51638,1.10751,1.45994,0.982,0.000578283,0.000578283,0.000578283
50,21.5323,1.09528,1.42231,0.97875,0.7006,0.6267,0.74664,0.52407,1.10465,1.43896,0.97636,0.000575455,0.000575455,0.000575455
51,22.0025,0.95531,1.33403,0.90981,0.70592,0.64673,0.73633,0.52534,1.10938,1.37511,0.97363,0.000572628,0.000572628,0.000572628
52,22.4769,1.05535,1.43731,0.95079,0.67383,0.64419,0.72423,0.50458,1.10452,1.33086,0.97097,0.000569801,0.000569801,0.000569801
53,22.8182,0.96076,1.34296,0.92886,0.67383,0.64419,0.72423,0.50458,1.10452,1.33086,0.97097,0.000566973,0.000566973,0.000566973
54,23.1715,1.01474,1.40336,0.92357,0.66553,0.64212,0.70254,0.49281,1.08657,1.34688,0.96066,0.000564146,0.000564146,0.000564146
55,23.5309,0.98665,1.36875,0.92873,0.63712,0.646,0.70146,0.4848,1.10715,1.31379,0.96466,0.000561318,0.000561318,0.000561318
56,23.9135,1.01036,1.39111,0.93364,0.52907,0.62861,0.73167,0.50243,1.12235,1.24936,0.96954,0.000558491,0.000558491,0.000558491
57,24.2822,0.97315,1.31501,0.90782,0.52907,0.62861,0.73167,0.50243,1.12235,1.24936,0.96954,0.000555663,0.000555663,0.000555663
58,24.5983,0.93889,1.27068,0.89508,0.58797,0.63569,0.76599,0.54103,1.09269,1.22682,0.96424,0.000552836,0.000552836,0.000552836
59,25.0274,0.98086,1.22151,0.92368,0.60764,0.64035,0.77367,0.53515,1.08153,1.1863,0.96169,0.000550008,0.000550008,0.000550008
60,25.3543,0.95823,1.25514,0.92555,0.59362,0.71394,0.78491,0.53396,1.13613,1.15827,0.97595,0.000547181,0.000547181,0.000547181
61,25.7018,0.97413,1.20686,0.93205,0.59362,0.71394,0.78491,0.53396,1.13613,1.15827,0.97595,0.000544354,0.000544354,0.000544354
62,26.0859,0.99626,1.29208,0.93979,0.67681,0.67205,0.78702,0.55206,1.11469,1.1297,0.97293,0.000541526,0.000541526,0.000541526
63,26.5413,0.98892,1.27401,0.9507,0.57158,0.77645,0.75616,0.5341,1.10545,1.16306,0.9682,0.000538699,0.000538699,0.000538699
64,26.8947,0.96193,1.22398,0.90017,0.68764,0.58782,0.73119,0.52367,1.10592,1.21332,0.9725,0.000535871,0.000535871,0.000535871
65,27.2445,0.87896,1.20993,0.93629,0.68764,0.58782,0.73119,0.52367,1.10592,1.21332,0.9725,0.000533044,0.000533044,0.000533044
66,27.5973,0.97927,1.28676,0.94258,0.63272,0.65392,0.73838,0.53119,1.10784,1.20468,0.97307,0.000530216,0.000530216,0.000530216
67,27.9495,1.06757,1.29403,1.00366,0.63763,0.73125,0.77427,0.5505,1.1124,1.11858,0.97349,0.000527389,0.000527389,0.000527389
68,28.3216,0.92196,1.15077,0.92478,0.80279,0.67229,0.78138,0.56975,1.10361,1.03102,0.97581,0.000524562,0.000524562,0.000524562
69,28.7201,0.90841,1.16932,0.91686,0.80279,0.67229,0.78138,0.56975,1.10361,1.03102,0.97581,0.000521734,0.000521734,0.000521734
70,29.1458,0.94782,1.09608,0.89004,0.8448,0.67457,0.82371,0.59443,1.09299,1.00489,0.97853,0.000518907,0.000518907,0.000518907
71,29.5699,0.92455,1.19337,0.92947,0.70993,0.68758,0.84334,0.61841,1.07072,0.97671,0.97602,0.000516079,0.000516079,0.000516079
72,30.0452,1.0004,1.2454,0.9438,0.66132,0.75254,0.85685,0.62618,1.04399,0.93205,0.96485,0.000513252,0.000513252,0.000513252
73,30.4784,0.97221,1.12627,0.93185,0.66132,0.75254,0.85685,0.62618,1.04399,0.93205,0.96485,0.000510424,0.000510424,0.000510424
74,30.9178,0.94883,1.12337,0.92252,0.72077,0.76301,0.8672,0.62973,1.06991,0.9034,0.96377,0.000507597,0.000507597,0.000507597
75,31.3781,0.94855,1.15836,0.93333,0.91751,0.68115,0.8545,0.61364,1.07345,0.91994,0.9592,0.000504769,0.000504769,0.000504769
76,31.7441,0.97012,1.2457,1.01145,0.89681,0.71268,0.8465,0.6168,1.02454,0.91201,0.94643,0.000501942,0.000501942,0.000501942
77,32.0769,0.93966,1.50221,0.94936,0.89681,0.71268,0.8465,0.6168,1.02454,0.91201,0.94643,0.000499115,0.000499115,0.000499115
78,32.4273,0.88729,1.17034,0.91024,0.86559,0.73737,0.83999,0.61474,1.01071,0.93236,0.93835,0.000496287,0.000496287,0.000496287
79,32.7896,1.07926,1.25152,0.96067,0.89297,0.7198,0.84664,0.61465,1.03873,0.92838,0.93986,0.00049346,0.00049346,0.00049346
80,33.1769,0.80528,1.10224,0.89659,0.88909,0.74669,0.85536,0.60704,1.08214,0.92072,0.94863,0.000490632,0.000490632,0.000490632
81,33.5459,0.92344,1.11533,0.92987,0.88909,0.74669,0.85536,0.60704,1.08214,0.92072,0.94863,0.000487805,0.000487805,0.000487805
82,33.8765,0.99303,1.09839,0.92677,0.75115,0.74995,0.85462,0.60438,1.09977,0.90865,0.95863,0.000484977,0.000484977,0.000484977
83,34.2319,0.90146,1.05863,0.92729,0.94897,0.65523,0.85333,0.61288,1.0803,0.91213,0.95629,0.00048215,0.00048215,0.00048215
84,34.5714,0.87619,1.04667,0.90951,0.81485,0.70675,0.84835,0.60717,1.06639,0.97881,0.9525,0.000479322,0.000479322,0.000479322
85,34.8841,0.86094,1.07329,0.88455,0.81485,0.70675,0.84835,0.60717,1.06639,0.97881,0.9525,0.000476495,0.000476495,0.000476495
86,35.1885,0.9338,1.10465,0.95433,0.76405,0.74607,0.85071,0.60972,1.08935,0.96027,0.95776,0.000473668,0.000473668,0.000473668
87,35.5637,0.85181,1.04952,0.91785,0.80887,0.74143,0.86637,0.61072,1.10745,0.88755,0.96668,0.00047084,0.00047084,0.00047084
88,35.8955,0.88626,1.00016,0.89519,0.92161,0.7123,0.87403,0.60791,1.07979,0.8415,0.96672,0.000468013,0.000468013,0.000468013
89,36.2632,0.89905,1.04858,0.91441,0.92161,0.7123,0.87403,0.60791,1.07979,0.8415,0.96672,0.000465185,0.000465185,0.000465185
90,36.6225,0.9304,1.08394,0.91064,0.89395,0.76026,0.88158,0.61733,1.08098,0.80577,0.96577,0.000462358,0.000462358,0.000462358
91,36.9539,0.95008,1.05635,0.91923,0.88727,0.79192,0.88959,0.63107,1.06439,0.81037,0.95527,0.00045953,0.00045953,0.00045953
92,37.3851,0.84792,0.95811,0.88823,0.87199,0.80338,0.89203,0.64003,1.05791,0.8169,0.95318,0.000456703,0.000456703,0.000456703
93,37.7683,0.90303,1.20516,0.94929,0.87199,0.80338,0.89203,0.64003,1.05791,0.8169,0.95318,0.000453876,0.000453876,0.000453876
94,38.1476,0.89633,0.95927,0.92718,0.88294,0.76602,0.86276,0.62477,1.06225,0.82285,0.95343,0.000451048,0.000451048,0.000451048
95,38.5099,0.84879,1.02671,0.89598,0.85764,0.78391,0.85881,0.61702,1.04902,0.80746,0.9554,0.000448221,0.000448221,0.000448221
96,38.8225,0.92195,1.33928,0.90059,0.94015,0.69856,0.86977,0.63437,1.03101,0.80447,0.95307,0.000445393,0.000445393,0.000445393
97,39.1641,0.90775,1.02994,0.93216,0.94015,0.69856,0.86977,0.63437,1.03101,0.80447,0.95307,0.000442566,0.000442566,0.000442566
98,39.4999,0.90642,0.9515,0.9158,0.73019,0.77568,0.8714,0.64097,1.01848,0.83018,0.9526,0.000439738,0.000439738,0.000439738
99,39.9476,0.88406,1.01536,0.93084,0.69973,0.79953,0.87281,0.64358,1.01155,0.81365,0.9514,0.000436911,0.000436911,0.000436911
100,40.4341,0.89772,1.01589,0.93061,0.86976,0.74542,0.87551,0.62069,1.07709,0.85164,0.96818,0.000434083,0.000434083,0.000434083
101,40.7863,0.87539,0.97286,0.91851,0.86976,0.74542,0.87551,0.62069,1.07709,0.85164,0.96818,0.000431256,0.000431256,0.000431256
102,41.1028,0.89823,1.03139,0.94572,0.89726,0.74047,0.88088,0.62001,1.08986,0.83274,0.97397,0.000428429,0.000428429,0.000428429
103,41.467,0.99226,1.0806,0.93314,0.68095,0.92947,0.90449,0.65895,1.03855,0.81197,0.95847,0.000425601,0.000425601,0.000425601
104,41.8388,0.85581,0.94282,0.89892,0.90855,0.7598,0.90065,0.67208,1.02022,0.78862,0.95523,0.000422774,0.000422774,0.000422774
105,42.2469,0.83987,0.96059,0.89383,0.90855,0.7598,0.90065,0.67208,1.02022,0.78862,0.95523,0.000419946,0.000419946,0.000419946
106,42.649,0.83125,0.93511,0.91051,0.90708,0.7621,0.90263,0.64978,1.04436,0.77382,0.95709,0.000417119,0.000417119,0.000417119
107,43.0077,0.91266,1.01314,0.93103,0.94687,0.71973,0.88458,0.62583,1.10243,0.76875,0.96653,0.000414291,0.000414291,0.000414291
108,43.3604,0.93285,1.04055,0.90411,0.92179,0.71204,0.87054,0.61286,1.1193,0.81006,0.97068,0.000411464,0.000411464,0.000411464
109,43.6916,0.91511,0.95749,0.91526,0.92179,0.71204,0.87054,0.61286,1.1193,0.81006,0.97068,0.000408636,0.000408636,0.000408636
110,44.0405,0.81592,0.91577,0.90473,0.87579,0.74249,0.85742,0.61511,1.07246,0.81086,0.95941,0.000405809,0.000405809,0.000405809
111,44.4101,0.95388,1.02096,0.94877,0.87905,0.72152,0.86447,0.6324,1.05292,0.80106,0.96142,0.000402982,0.000402982,0.000402982
112,44.7732,0.88787,0.93175,0.90668,0.90693,0.7062,0.85758,0.63125,1.05358,0.81561,0.96473,0.000400154,0.000400154,0.000400154
113,45.1309,1.02654,1.0529,0.97919,0.90693,0.7062,0.85758,0.63125,1.05358,0.81561,0.96473,0.000397327,0.000397327,0.000397327
114,45.4858,0.78911,0.8924,0.90375,0.94237,0.70532,0.85547,0.62375,1.07415,0.82233,0.972,0.000394499,0.000394499,0.000394499
115,45.8342,0.91883,0.94783,0.90201,0.64915,0.93242,0.84666,0.60551,1.07358,0.8197,0.97375,0.000391672,0.000391672,0.000391672
116,46.2123,0.83456,0.8929,0.9004,0.72317,0.9102,0.87858,0.63606,1.06035,0.80406,0.9714,0.000388844,0.000388844,0.000388844
117,46.5502,0.89505,0.88757,0.92978,0.72317,0.9102,0.87858,0.63606,1.06035,0.80406,0.9714,0.000386017,0.000386017,0.000386017
118,46.9273,0.84225,0.92414,0.90893,0.68446,0.92092,0.87382,0.63706,1.05287,0.78764,0.96805,0.00038319,0.00038319,0.00038319
119,47.3197,0.9594,0.98722,0.92707,0.68051,0.93828,0.8709,0.63188,1.04673,0.77205,0.96302,0.000380362,0.000380362,0.000380362
120,47.6977,0.87343,0.90332,0.8833,0.70227,0.95214,0.86889,0.65362,1.04325,0.77998,0.95719,0.000377535,0.000377535,0.000377535
121,48.0587,0.88307,0.91117,0.92591,0.70227,0.95214,0.86889,0.65362,1.04325,0.77998,0.95719,0.000374707,0.000374707,0.000374707
122,48.4522,0.9239,0.90263,0.90457,0.68406,0.95583,0.86797,0.64062,1.03619,0.77699,0.96181,0.00037188,0.00037188,0.00037188
123,48.8215,0.89917,1.00411,0.93832,0.67718,0.98482,0.87264,0.64638,1.03245,0.77069,0.96009,0.000369052,0.000369052,0.000369052
124,49.1713,0.99258,0.94585,0.95006,0.68383,0.86976,0.86569,0.61615,1.0683,0.79232,0.96362,0.000366225,0.000366225,0.000366225
125,49.5232,0.86642,0.87856,0.90923,0.68383,0.86976,0.86569,0.61615,1.0683,0.79232,0.96362,0.000363397,0.000363397,0.000363397
126,49.8682,0.84183,0.90196,0.90439,0.73647,0.76867,0.86314,0.6002,1.09145,0.7901,0.96778,0.00036057,0.00036057,0.00036057
127,50.2305,0.84292,0.89775,0.87916,0.85153,0.75043,0.85927,0.596,1.06878,0.78324,0.96317,0.000357743,0.000357743,0.000357743
128,50.5646,0.88106,0.88463,0.93265,0.69803,0.91208,0.87179,0.62889,1.04006,0.78017,0.96167,0.000354915,0.000354915,0.000354915
129,50.9117,0.78233,1.11842,0.91094,0.69803,0.91208,0.87179,0.62889,1.04006,0.78017,0.96167,0.000352088,0.000352088,0.000352088
130,51.2849,0.9139,0.9431,0.92052,0.72716,0.88857,0.87621,0.64326,1.02752,0.78319,0.95777,0.00034926,0.00034926,0.00034926
